Ticker,Quantity
GOOGL,66
MSFT,203
XOM,316
AMZN,20
JNJ,61
GE,305
T,1417
WFC,153
JPM,75
WMT,66
PG,755
VZ,341
PFE,426
CVX,157
ORCL,166
HD,125
INTC,112
MRK,1434
DIS,78
PM,335
PEP,479
IBM,99
CSCO,2222
BAC,496
MO,67
UNH,125
BMY,548
MDT,557
SLB,541
MMM,44
MCD,83
CVS,120
UPS,51
AGN,37
HON,72
WBA,247
UTX,100
BA,194
QCOM,319
COST,146
LOW,243
USB,336
GS,138
SPG,59
PCLN,18
AXP,766
OXY,306
BLK,6
MS,893
F,1161
