15-09-29,19,GOOGL,622.61
15-09-29,284,MSFT,43.44
15-09-29,338,XOM,72.97
15-09-29,24,AMZN,496.07
15-09-29,265,JNJ,93.04
15-09-29,502,GE,24.57
15-09-29,769,T,32.07
15-09-29,485,WFC,50.89
15-09-29,412,JPM,59.84
15-09-29,193,WMT,63.78
15-09-29,341,PG,72.28
15-09-29,567,VZ,43.53
15-09-29,795,PFE,31.02
15-09-29,161,CVX,76.25
15-09-29,695,ORCL,35.51
15-09-29,218,HD,112.91
15-09-29,844,INTC,29.24
15-09-29,253,MRK,48.65
15-09-29,124,DIS,99.42
15-09-29,313,PM,78.64
15-09-29,265,PEP,93.04
15-09-29,86,IBM,142.47
15-09-29,963,CSCO,25.64
15-09-29,804,BAC,15.35
15-09-29,227,MO,54.23
15-09-29,216,UNH,114.22
15-09-29,418,BMY,58.95
15-09-29,186,MDT,66.37
15-09-29,357,SLB,69.1
15-09-29,174,MMM,141.55
15-09-29,253,MCD,97.48
15-09-29,259,CVS,95.12
15-09-29,251,UPS,98.14
15-09-29,97,AGN,252.1
15-09-29,133,HON,92.52
15-09-29,300,WBA,82.06
15-09-29,140,UTX,87.98
15-09-29,191,BA,128.75
15-09-29,470,QCOM,52.43
15-09-29,171,COST,143.72
15-09-29,184,LOW,66.77
15-09-29,607,USB,40.65
15-09-29,143,GS,171.86
15-09-29,135,SPG,182.43
15-09-29,10,PCLN,1200.32
15-09-29,337,AXP,73.1
15-09-29,191,OXY,64.4439
15-09-29,84,BLK,293.52
15-09-29,398,MS,31.01
15-09-29,938,F,13.15
